WK_KCPDFirearmsQual | Техника хвата обведена красными чернилами. | Тренирует: Точность
WK_BridalSeamstressNotes | Выпуск лифа с косточками без нарушения структуры. Ремонт кружева. | Тренирует: Шитьё
WK_AWSCertWelderManual | Практические тесты 3G и 4G: швы, которых избегают самоучки. | Тренирует: Газосварка
WK_PipefittersWelding | Сварка корня трубы: замочная скважина, потолочный валик, вертикальные проходы. | Тренирует: Газосварка
WK_AluminumMIGRef | Настройка пистолета-катушки и задержка газа для тонкого алюминия. | Тренирует: Газосварка
WK_UAWWeldingShopSOP | Вытяжка дыма, пожарный надзор и наряды для сварки в цехе. | Тренирует: Газосварка
WK_AutoBodyWeldingRef | Латки и пробочные швы: шаг без прожогов на тонком металле. | Тренирует: Газосварка
WK_StickRodSelectionGuide | Руководство по выбору электродов 6011 и 7018. | Тренирует: Газосварка
WK_AerospaceTIGNotes | Требования к инертной атмосфере и очистка титана перед сваркой. | Тренирует: Газосварка
WK_FFAVocAgText | Подготовка почвы, пересадка и питание полевых культур, основы животноводства. | Тренирует: Фермерство
WK_KYExtensionAgBull | Оповещения о вредителях и болезнях культур с порогами вредоносности. | Тренирует: Фермерство
WK_UKAgEconNotes | Конспекты с пометками. Таблицы перевода и расчёт урожайности актуальны. | Тренирует: Фермерство
WK_FertSpreaderCalCard | Полевая карточка по калибровке разбрасывателя удобрений. | Тренирует: Фермерство
WK_USDACropRotation | Двух- и четырёхлетние севообороты кукуруза-соя с таблицами азота. | Тренирует: Фермерство
WK_NoTillFarmingMan | Минимальная обработка и покровные культуры для восстановления почвы. | Тренирует: Фермерство
WK_KYTobaccoGrowGuide | Рассада на плавающих лотках, пересадка и обламывание листа для сушки. | Тренирует: Фермерство
WK_RodaleOrganicPamph | Нормы компоста, покровные культуры и ИУВ без химикатов. | Тренирует: Фермерство
WK_KYCattlemensNews | Последние страницы: лечение розового глаза и копытной гнили без ветеринара. | Тренирует: Уход за животными
WK_FFALivestockJudging | Оценка упитанности и выявление пороков по видам скота. | Тренирует: Уход за животными
WK_TysonPoultryGrower | Вентиляция, подстилка и конверсия корма при выращивании бройлеров. | Тренирует: Уход за животными
WK_TrackVetDailyLog | Оценка хромоты перед скачками рукой ветеринара. Пятна бурбона. | Тренирует: Уход за животными
WK_SheepGoatBreeder | Помощь при окоте, обрезка копыт и FAMACHA-оценка паразитов. | Тренирует: Уход за животными
WK_SwineProductionMan | Рационы, опоросные клетки и протоколы отъёма для свиней. | Тренирует: Уход за животными
WK_DairyHerdMgmt | Выявление охоты, журнал осеменения и протоколы доильного зала. | Тренирует: Уход за животными
WK_AgEdJudgingCard | Судейский бланк районного конкурса FFA. Кофейный круг. | Тренирует: Уход за животными
WK_UnionStockyardsCut | Разделка говядины и первичный распил, оптимизированные по тоннажу. | Тренирует: Разделка
WK_DeerProcessorGuide | От снятия шкуры до вакуумной упаковки: разделка, обвалка, выдержка. | Тренирует: Разделка
WK_SausageProductionNotes | Соотношения жира и последовательность помола для разных колбас. | Тренирует: Разделка
WK_SmallSlaughterhouseSOP | СОП цикла инспекции и утилизации туш. | Тренирует: Разделка
WK_KosherButcheringRef | Требования кашрута и отрубы передней четверти. Заметки на иврите. | Тренирует: Разделка
WK_CharcuterieProduction | Концентрация посолочной смеси и влажность при сухом вялении. | Тренирует: Разделка
WK_HolidayTurkeyCard | Температура ошпаривания, пенёк, потрошение при массовой переработке. | Тренирует: Разделка
WK_CharcutierApprDiary | Год солевых экспериментов и ошибок, исправления обведены красным. | Тренирует: Разделка
WK_WildGameProcessor | Снятие шкуры и обвалка оленя, индейки, кролика, белки, кабана. | Тренирует: Разделка
WK_HSTrackCoachManual | Периодизация тренировок и упражнения по видам. Потрёпан. | Тренирует: Бег
WK_NCAAStrengthCondition | Периодизация первого дивизиона: база, набор, пик, сужение, ускорение. | Тренирует: Бег
WK_KYHSAARulebook | Правила допуска, перехода и вербовки. Штамп инспектора. | Тренирует: Бег
WK_BostonMarathonTrain | Восемнадцатинедельная квалификационная программа. Таблицы темпа везде. | Тренирует: Бег
WK_SprintIntervalCard | Таблицы тайминга в стиле табата. Отметки свистка на ламинате. | Тренирует: Бег
WK_CrossCountryRef | Горные повторы и командный бег для школьных стайеров. | Тренирует: Бег
WK_PoliceRecruitFitness | Двенадцатинедельная программа академии с еженедельными нормативами. | Тренирует: Бег
WK_ArmyAPFTManual | Нормы двухмильного бега и отжиманий по возрасту, плюс НФП. | Тренирует: Бег
WK_HSFootballCondition | Межсезонная работа в зале и ускорения. Ручка в переплёте. | Тренирует: Бег
WK_BMXRacingTraining | Упражнения по спринту и прохождению виражей. Грязь на обложке. | Тренирует: Бег
WK_USPFPowerlifting | Глубина приседа, касание груди, фиксация тяги. Таблицы разминки. | Тренирует: Сила
WK_OlympicLiftingNotes | Рывок и толчок: тяга бёдрами, силовая позиция, уход под штангу. | Тренирует: Сила
WK_StrongmanTrainingMan | Камни Атласа, жим брёвна, переноска рамы: прямой перенос на работу. | Тренирует: Сила
WK_MuscleBuilderMag | Номер журнала Джо Уайдера. Жёлтый и оранжевый. | Тренирует: Сила
WK_ArmyCombatLifter | Соотношения веса тела для переноски раненого и преодоления барьеров. | Тренирует: Сила
WK_FarmStrengthManual | Подъём брёвен, камней, работа хватом для длительного фермерского труда. | Тренирует: Сила
WK_RugbyStrengthMan | Подготовка схватки и беговой линии по позиции. | Тренирует: Сила
WK_FreightDockLiftCard | Карточка подъёма для грузового дока. Пятна пота. | Тренирует: Сила
WK_CollegeStrengthLog | Еженедельные показатели жима, приседа и взятия на грудь. Карандаш. | Тренирует: Сила
WK_HSWrestlingStrength | Стратегии сгонки веса и упражнения на силу хвата. | Тренирует: Сила
WK_ParamedicProtocolMan | Адреналин, морфин, глюкоза: дозировки и кардиопротокол в поле. | Тренирует: Первая помощь
WK_ERTriageTextbook | Контроль повреждений при массовых потерях: что убивает в первый час. | Тренирует: Первая помощь
WK_NursingFundamentals | Оценка ран и распознавание инфекции в мире без больниц. | Тренирует: Первая помощь
WK_PharmacistDispensing | Взаимодействие, максимальные дозы, длительность антибиотиков и признаки неудачи. | Тренирует: Первая помощь
WK_ArmyCombatMedic | Жгут, декомпрессия иглой, тампонада раны без госпитальной поддержки. | Тренирует: Первая помощь
WK_NursingHomeCareMan | Профилактика пролежней и стадирование ран при хроническом уходе. | Тренирует: Первая помощь
WK_WoundCareSuturing | Обработка, ушивание по степени загрязнения, схемы расположения швов. | Тренирует: Первая помощь
WK_PediatricFirstAid | Дозировка по весу, детская СЛР и признаки критического состояния. | Тренирует: Первая помощь
WK_KYBassFishingClub | GPS вырезан. Остались сезонные маршруты и данные глубин. | Тренирует: Рыболовство
WK_CrappieAnglersGuide | Глубина в корягах, расстановка завалов, вертикальный джиг. Температуры. | Тренирует: Рыболовство
WK_KYTroutStocking | График зарыбления форелью по ручьям KDFWR. | Тренирует: Рыболовство
WK_FlyTyingPattern | Имитации насекомых с указанием источников меха и пера. | Тренирует: Рыболовство
WK_KYRiverCatfishing | Переметы, кувшины и расстановка приманки на изгибах рек. | Тренирует: Рыболовство
WK_WalleyeFishingRef | Техника ловли на рифах и выбор глубины. Царапины от поляризационных очков. | Тренирует: Рыболовство
WK_NoodlingHandfishing | Под плитой и в коряге: рыба или черепаха на ощупь. | Тренирует: Рыболовство
WK_KYMusselRegs | Разрешённые снасти и определение промысловых раковин. | Тренирует: Рыболовство
WK_KYWildflowerGuide | Определитель цветных таблиц аборигенных растений с местообитаниями. | Тренирует: Собирательство
WK_StalkingWildAsparagus | Заметки Гиббонса: где искать, какую часть, когда брать. | Тренирует: Собирательство
WK_HerbalPharmacyEnc | Приготовление настоек и дозировки. Треснутый корешок. | Тренирует: Собирательство
WK_WildMushroomHunt | Споровые отпечатки и предупреждения о двойниках. Страницы загнуты. | Тренирует: Собирательство
WK_BackyardForaging | Стол из двора: одуванчик, портулак, кислица, подорожник. | Тренирует: Собирательство
WK_EthnobotanyText | Растения восточных лесов: пища, медицина и волокно по общинам. | Тренирует: Собирательство
WK_TraditionalAppPlants | Черемша, лаконос, кровавый корень и бузина с заметками об обработке. | Тренирует: Собирательство
WK_HunterGatherersRef | Корни осенью, зелень весной, семена летом. Сезон за сезоном. | Тренирует: Собирательство
WK_WildEdiblesCookbook | Щавель, желудёвая мука, пыльца рогоза: от определения до кулинарии. | Тренирует: Собирательство
WK_ApacheScoutTracking | Чтение давления грунта и микроследов для определения направления. | Тренирует: Следопытство
WK_KYCoonHunting | Чтение знаков и обнаружение деревьев работают и без собак. | Тренирует: Следопытство
WK_SARTrackingTraining | Поведение потерявшихся и вероятность района поиска. Приложение по следам. | Тренирует: Следопытство
WK_TurkeyHuntingRef | Серии приманивания, расстановка чучел и чтение мест ночёвки. | Тренирует: Следопытство
WK_BloodhoundHandlerCard | Работа с запаховым следом и отработка потери следа. Для помощников. | Тренирует: Следопытство
WK_WildlifeBiologyText | Домашний участок, коридоры и сезонные движения: экологическое обоснование. | Тренирует: Следопытство
WK_BowHunterCamoMan | Расположение засидки и разбивка силуэта по сезону. | Тренирует: Следопытство
WK_NavySEALReconPamph | Строительство укрытия и противодействие слежке. | Тренирует: Следопытство
WK_SignReadingNotes | Схемы давления грунта и признаки старения следа. Сложено в кармане. | Тренирует: Следопытство
WK_NTAFurHandlersGuide | Чулочная и пластовая съёмка, размер правилки, отбраковка по видам. | Тренирует: Звероловство
WK_KYBeaverTrapPamph | Постановка на пруду и на сходне. Памятка пахнет кастореумом. | Тренирует: Звероловство
WK_FoxHolerLureRecipes | Железистые и пищевые приманки по сезонам: пропорции мочи и скунса. | Тренирует: Звероловство
WK_ConibearSetTechnique | Расстановка капкана на тело и настройка чувствительности. | Тренирует: Звероловство
WK_FootholdStakingRef | Якорь-вертлюг для скалы, песка и мёрзлого грунта. | Тренирует: Звероловство
WK_USDAAnimalDamage | Руководство APHIS по контролю ущерба от диких животных. | Тренирует: Звероловство
WK_KDFWRNuisanceWild | Живоловки и отпугивание для бобра, койота, сурка. Варианты утилизации. | Тренирует: Звероловство
WK_MuskratPeltStretch | Размер правилки, глубина мездрения и время сушки. Одна страница, ламинат. | Тренирует: Звероловство
WK_FurAuctionGrading | Стандарты сортировки по видам. Календарь первосортности для охоты. | Тренирует: Звероловство
WK_CabinetmakerJoinery | Пропорции ласточкина хвоста, ящикового и шипового соединений. | Тренирует: Строительство
WK_RoofFramingCalcCard | Таблицы уклонов и вылетов стропил для вальмовых и щипцовых крыш. | Тренирует: Строительство
WK_LogHomeBuildersRef | Типы врубок, конструкция нижних венцов и спецификации конопатки. | Тренирует: Строительство
WK_AppTimberFramePamph | Сборные рамы на штифтах по пролёту без инженерных расчётов. | Тренирует: Строительство
WK_ScoutCarpentryMerit | Разметочный рейсмус, стамески и чтение волокна перед ударом. | Тренирует: Строительство
WK_FurnitureMakerNotes | Размеры шипа и гнезда для корпусной мебели и ящиков. | Тренирует: Строительство
WK_VocSchoolBuildTrades | Разметка стен, перекрытий и крыши от того, кто строил дома. | Тренирует: Строительство
