WK_KCPDFirearmsQual | Proper grip techniques are circled in red ink. | Trains: Aiming
WK_HSTrackCoachManual | Workout periodization and event-by-event drills. Dog-eared. | Trains: Running
WK_NCAAStrengthCondition | Division I periodization: base, build, peak, taper, and acceleration. | Trains: Running
WK_KYHSAARulebook | Eligibility, transfer, and recruiting rules. Compliance officer's stamp. | Trains: Running
WK_BostonMarathonTrain | Eighteen-week qualifying program. Pace charts on every page. | Trains: Running
WK_SprintIntervalCard | Tabata-style timing tables. Whistle marks on the laminate. | Trains: Running
WK_CrossCountryRef | Hill repeats and pack-running drills for high school distance teams. | Trains: Running
WK_PoliceRecruitFitness | Twelve-week academy fitness program with weekly benchmarks. | Trains: Running
WK_ArmyAPFTManual | Two-mile run and push-up standards by age, plus back-half PT drills. | Trains: Running
WK_HSFootballCondition | Off-season weight room and gasser sequences. Pen in the spine. | Trains: Running
WK_BMXRacingTraining | Sprint and corner technique drills. Mud flecks on the back. | Trains: Running
WK_USPFPowerlifting | Squat depth, bench contact, and deadlift lockout. Warm-up tables. | Trains: Strength
WK_OlympicLiftingNotes | Snatch and clean-and-jerk: hip hinge, power position, pull-under. | Trains: Strength
WK_StrongmanTrainingMan | Atlas stones, log press, frame carry: transfers to real-world hauling. | Trains: Strength
WK_MuscleBuilderMag | Joe Weider muscle magazine. Tan and orange. | Trains: Strength
WK_ArmyCombatLifter | Body-weight ratios for casualty carry and barrier breaching. | Trains: Strength
WK_FarmStrengthManual | Log lifting, stone loading, grip work for sustained farm labor. | Trains: Strength
WK_RugbyStrengthMan | Scrum-pack and back-line conditioning by position. | Trains: Strength
WK_FreightDockLiftCard | Freight dock lift card. Sweat-stained. | Trains: Strength
WK_CollegeStrengthLog | Weekly bench, squat, and clean numbers. Pencil annotations. | Trains: Strength
WK_HSWrestlingStrength | Cutting weight strategies and grip strength routines. | Trains: Strength
WK_ParamedicProtocolMan | Epi, morphine, glucose: dosing and cardiac protocol for field medics. | Trains: First Aid
WK_ERTriageTextbook | Damage control for mass-casualty: what kills in the first hour. | Trains: First Aid
WK_NursingFundamentals | Wound assessment and infection recognition for a post-hospital world. | Trains: First Aid
WK_PharmacistDispensing | OTC interactions, dosing maximums, antibiotic duration and failure signs. | Trains: First Aid
WK_ArmyCombatMedic | Tourniquet, needle decompression, wound packing without hospital backup. | Trains: First Aid
WK_NursingHomeCareMan | Pressure ulcer prevention and wound staging for chronic care. | Trains: First Aid
WK_WoundCareSuturing | Debridement, closure by contamination level, illustrated suture placement. | Trains: First Aid
WK_PediatricFirstAid | Dosing by weight, pediatric CPR ratios, and sick-versus-critical signs. | Trains: First Aid
WK_KYBassFishingClub | GPS edited out. Seasonal patterns and depth references remain. | Trains: Fishing
WK_CrappieAnglersGuide | Timber depth, brush pile spacing, vertical jigging. Annotated temps. | Trains: Fishing
WK_KYTroutStocking | Fish & Wildlife Resources stocking schedule by stream. | Trains: Fishing
WK_FlyTyingPattern | Match-the-hatch patterns with fur and feather sources noted. | Trains: Fishing
WK_KYRiverCatfishing | Limb lines, jugs, and river-bend bait placement. | Trains: Fishing
WK_WalleyeFishingRef | Reef fishing technique and depth selection. Polarized lens scratches. | Trains: Fishing
WK_NoodlingHandfishing | Flat-rock and hollow-log: fish or snapping turtle by feel. | Trains: Fishing
WK_KYMusselRegs | Legal gear and species ID separating marketable shells from protected. | Trains: Fishing
WK_KYWildflowerGuide | Color-plate ID for Kentucky natives with habitat and bloom timing. | Trains: Foraging
WK_StalkingWildAsparagus | Gibbons' harvest notes: where to find, what part, when to take. | Trains: Foraging
WK_HerbalPharmacyEnc | Tincture preparations and dosage notes. Cracked spine. | Trains: Foraging
WK_WildMushroomHunt | Spore prints and look-alike warnings. Several pages folded over. | Trains: Foraging
WK_BackyardForaging | Lawn-to-table guide: dandelion, purslane, wood sorrel, plantain. | Trains: Foraging
WK_EthnobotanyText | Eastern Woodlands plant uses: food, medicine, and fiber by community. | Trains: Foraging
WK_TraditionalAppPlants | Ramps, poke, bloodroot, and elder, with processing notes for toxic species. | Trains: Foraging
WK_HunterGatherersRef | Roots in fall, greens in spring, seeds in summer. Season by season. | Trains: Foraging
WK_WildEdiblesCookbook | Dock, acorn flour, and cattail pollen: bridging ID to actual cooking. | Trains: Foraging
WK_ApacheScoutTracking | Pressure release and micro-track reading for direction and speed. | Trains: Tracking
WK_KYCoonHunting | Sign-reading and tree-detection apply with or without dogs. Twangy. | Trains: Tracking
WK_SARTrackingTraining | Lost-person behavior and probability-of-area. Sign-cutting appendix. | Trains: Tracking
WK_TurkeyHuntingRef | Calling cadences, decoy spreads, and roost reading. | Trains: Tracking
WK_BloodhoundHandlerCard | Scent article handling and cast-off recovery. Written for deputies. | Trains: Tracking
WK_WildlifeBiologyText | Home range, habitat corridors, and seasonal movement: the ecological why. | Trains: Tracking
WK_BowHunterCamoMan | Stand placement and silhouette-breaking technique by season. | Trains: Tracking
WK_NavySEALReconPamph | Hide-site construction and tracking countermeasures. | Trains: Tracking
WK_SignReadingNotes | Pressure release diagrams and aging cues. Vest-pocket folded. | Trains: Tracking
WK_NTAFurHandlersGuide | Case vs. open-pelt, stretcher sizing, prime pelt versus grade-out. | Trains: Trapping
WK_KYBeaverTrapPamph | Pond-set and slide-set technique. Pamphlet smells of castor. | Trains: Trapping
WK_FoxHolerLureRecipes | Gland and food lures by season: urine-to-skunk ratios for fox. | Trains: Trapping
WK_ConibearSetTechnique | Body-grip set placement and trigger sensitivity tuning. | Trains: Trapping
WK_FootholdStakingRef | Stake-and-swivel for rock, sand, and frozen ground. Drag hook options. | Trains: Trapping
WK_USDAAnimalDamage | Federal Animal and Plant Health Inspection Service damage control manual. | Trains: Trapping
WK_KDFWRNuisanceWild | Live-trap and exclusion for beaver, coyote, groundhog. Disposition options. | Trains: Trapping
WK_MuskratPeltStretch | Stretcher sizing, fleshing depth, and drying time. One page, laminated. | Trains: Trapping
WK_FurAuctionGrading | Grade-cut standards by species. Primeness calendar for harvest timing. | Trains: Trapping
WK_CabinetmakerJoinery | Dovetail, box, and mortise-and-tenon proportions by wood species. | Trains: Carpentry
WK_RoofFramingCalcCard | Pitch tables and rafter overrun for hip and gable roofs. | Trains: Carpentry
WK_LogHomeBuildersRef | Notch types, sill construction, and chinking specifications. | Trains: Carpentry
WK_AppTimberFramePamph | Pegged mortise-and-tenon bents sized by span without engineering tables. | Trains: Carpentry
WK_ScoutCarpentryMerit | Marking gauges, chisels, and reading grain before striking. | Trains: Carpentry
WK_FurnitureMakerNotes | Mortise-and-tenon dimensions for casework and case goods. | Trains: Carpentry
WK_VocSchoolBuildTrades | Framing: wall, floor, and roof layout by someone who built houses. | Trains: Carpentry
